ZCTA5CE20,P1_001N
94583,55088.0
94585,26953.0
94586,11751.0
94587,66484.0
94588,24642.0
94589,28829.0
94590,35987.0
94591,57904.0
94592,0.0
94595,21266.0
94596,20430.0
94597,18565.0
94598,36499.0
94599,3436.0
94601,51425.0
94602,33985.0
94603,29164.0
94605,45375.0
94606,33681.0
94607,33576.0
94608,37957.0
94609,23386.0
94610,35192.0
94611,47641.0
94612,12693.0
94613,2373.0
94618,10921.0
94619,24176.0
94621,40238.0
94702,17784.0
94703,25305.0
94704,22215.0
94705,14776.0
94706,15690.0
94707,12018.0
94708,12221.0
94709,12585.0
94710,9889.0
94720,5912.0
94801,34223.0
94803,26705.0
94804,48244.0
94805,11909.0
94806,64447.0
94901,43466.0
94903,30567.0
94904,12007.0
94920,13594.0
94922,0.0
94923,1665.0
94924,0.0
94925,12277.0
94928,37634.0
94929,0.0
94930,8409.0
94931,14057.0
94933,0.0
94937,1824.0
94938,0.0
94939,6551.0
94940,0.0
94941,32132.0
94945,19034.0
94946,0.0
94947,22554.0
94949,18726.0
94950,0.0
94951,9147.0
94952,34811.0
94954,38765.0
94956,0.0
94957,2338.0
94960,15352.0
94963,3910.0
94964,3669.0
94965,10585.0
94970,2111.0
94971,0.0
94972,0.0
94973,0.0
95002,2056.0
95003,26237.0
95004,0.0
95005,5019.0
95006,11418.0
95007,0.0
95008,51073.0
95010,12188.0
95012,14506.0
95013,0.0
95014,64617.0
95017,4680.0
95018,7887.0
95019,8629.0
95020,66103.0
95023,53919.0
95030,9875.0
95032,32197.0
95033,7764.0
95035,78813.0
95037,51457.0
95039,9810.0
95041,0.0
95043,3561.0
95045,6729.0
95046,9966.0
95050,46369.0
95051,59635.0
95053,0.0
95054,23420.0
95060,43630.0
95062,39396.0
95064,8452.0
95065,13418.0
95066,8681.0
95070,38921.0
95073,12065.0
95075,0.0
95076,73209.0
95110,29090.0
95111,58491.0
95112,61902.0
95113,0.0
95116,51259.0
95117,32010.0
95118,31553.0
95119,9786.0
95120,39211.0
95121,36291.0
95122,51727.0
95123,64345.0
95124,42383.0
95125,51752.0
95126,33128.0
95127,63274.0
95128,32047.0
95129,40061.0
95130,9046.0
95131,48104.0
95132,39693.0
95133,30791.0
95134,19592.0
95135,20940.0
95136,52369.0
95138,23981.0
95139,7413.0
95140,0.0
95148,44188.0
95202,7318.0
95203,16890.0
95204,32490.0
95205,41289.0
95206,67020.0
95207,50460.0
95209,44753.0
95210,41297.0
95211,0.0
95212,23684.0
95215,22036.0
95219,30549.0
95220,6099.0
95221,0.0
95222,4354.0
95223,1966.0
95224,0.0
95225,5691.0
95226,0.0
95227,3744.0
95228,5004.0
95230,5672.0
95231,5968.0
95232,0.0
95233,0.0
95236,5509.0
95237,2815.0
95240,51551.0
95242,34647.0
95245,0.0
95246,2172.0
95247,7053.0
95248,3862.0
95249,4186.0
95251,0.0
95252,10246.0
95253,0.0
95254,0.0
95255,0.0
95257,0.0
95258,4973.0
95301,46401.0
95303,3325.0
95304,20631.0
95305,0.0
95306,2619.0
95307,49428.0
95309,0.0
95310,0.0
95311,3206.0
95312,0.0
95313,0.0
95315,11052.0
95316,8933.0
95317,0.0
95318,0.0
95319,0.0
95320,13713.0
95321,2088.0
95322,7099.0
95323,4990.0
95324,7856.0
95325,0.0
95326,8443.0
95327,13054.0
95328,0.0
95329,0.0
95330,23192.0
95333,2376.0
95334,17134.0
95335,0.0
95336,52595.0
95337,42896.0
95338,7548.0
95340,36221.0
95341,35783.0
95345,0.0
95346,2570.0
95348,29617.0
95350,56632.0
95351,51062.0
95354,26295.0
95355,58680.0
95356,37804.0
95357,26649.0
95358,35472.0
95360,12826.0
95361,27581.0
95363,31943.0
95364,1314.0
95365,0.0
95366,18295.0
95367,22478.0
95368,3743.0
95369,0.0
95370,27450.0
95372,0.0
95374,1681.0
95375,0.0
95376,53678.0
95377,36123.0
95379,0.0
95380,43940.0
95382,34185.0
95383,0.0
95385,0.0
95386,6122.0
95387,0.0
95388,14986.0
95389,0.0
95391,25018.0
95401,39850.0
95403,46967.0
95404,45223.0
95405,21433.0
95407,42122.0
95409,21196.0
95410,0.0
95412,0.0
95415,0.0
95417,0.0
95419,0.0
95420,0.0
95421,4443.0
95422,12201.0
95423,7836.0
95425,10394.0
95426,1536.0
95427,0.0
95428,3100.0
95429,0.0
95430,0.0
95431,0.0
95432,2027.0
95435,0.0
95436,2213.0
95437,10673.0
95439,0.0
95441,3399.0
95442,4193.0
95443,0.0
95444,0.0
95445,0.0
95446,5556.0
95448,26877.0
95449,2053.0
95450,0.0
95451,5881.0
95452,0.0
95453,16037.0
95454,0.0
95456,0.0
95457,10769.0
95458,0.0
95459,0.0
95460,2443.0
95461,4113.0
95462,0.0
95463,0.0
95464,0.0
95465,2093.0
95466,3582.0
95467,3605.0
95468,4436.0
95469,1849.0
95470,6018.0
95471,0.0
95472,29463.0
95476,34406.0
95480,0.0
95482,32947.0
95485,0.0
95486,0.0
95488,0.0
95490,13973.0
95492,15384.0
95493,0.0
95494,0.0
95497,787.0
95501,24243.0
95503,21306.0
95511,0.0
95514,0.0
95519,16687.0
95521,14596.0
95524,5149.0
95525,3496.0
95526,4074.0
95527,0.0
95528,0.0
95531,26538.0
95536,0.0
95537,0.0
95538,0.0
95540,9350.0
95542,2474.0
95543,0.0
95545,0.0
95546,2914.0
95547,0.0
95548,0.0
95549,0.0
95550,5141.0
95551,7480.0
95552,0.0
95553,0.0
95554,3822.0
95555,0.0
95556,0.0
95558,3275.0
95559,0.0
95560,0.0
95562,0.0
95563,0.0
95564,0.0
95565,4724.0
95567,0.0
95568,0.0
95569,0.0
95570,0.0
95571,0.0
95573,0.0
95585,4267.0
95587,0.0
95589,1638.0
95595,0.0
95601,0.0
95602,20996.0
95603,24426.0
95604,0.0
95605,12935.0
95606,0.0
95607,5709.0
95608,61751.0
95610,43406.0
95612,0.0
95613,0.0
95614,0.0
95615,0.0
95616,49132.0
95618,19993.0
95619,2703.0
95620,26770.0
95621,48783.0
95623,7443.0
95624,66839.0
95625,0.0
95626,14258.0
95627,0.0
95628,37571.0
95629,1768.0
95630,74787.0
95631,0.0
95632,30826.0
95633,1696.0
95634,814.0
95635,4141.0
95636,2395.0
95637,0.0
95638,2443.0
95639,0.0
95640,10618.0
95641,0.0
95642,3231.0
95645,0.0
95646,0.0
95648,63728.0
95650,16341.0
95651,0.0
95652,5251.0
95653,0.0
95655,4767.0
95658,2973.0
95659,0.0
95660,29216.0
95661,32847.0
95662,38296.0
95663,2748.0
95664,5087.0
95665,4928.0
95666,5901.0
95667,33156.0
95668,2456.0
95669,5726.0
95670,59971.0
95671,5667.0
95672,9412.0
95673,12982.0
95674,0.0
95675,0.0
95676,0.0
95677,23006.0
95678,40227.0
95679,0.0
95680,0.0
95681,0.0
95682,29557.0
95683,7292.0
95684,2137.0
95685,8302.0
95686,0.0
95687,68532.0
95688,41539.0
95689,0.0
95690,3730.0
95691,39718.0
95692,4405.0
95693,6603.0
95694,8520.0
95695,36008.0
95697,0.0
95698,4052.0
95699,0.0
95701,0.0
95703,3315.0
95709,3403.0
95713,6569.0
95714,0.0
95715,2833.0
95717,0.0
95720,155.0
95721,0.0
95722,4462.0
95726,12825.0
95728,1529.0
95735,0.0
95736,0.0
95742,15424.0
95746,23365.0
95747,66660.0
95757,55152.0
95758,68332.0
95762,42487.0
95765,46230.0
95776,34257.0
95811,10525.0
95814,11363.0
95815,39316.0
95816,18383.0
95817,18402.0
95818,27542.0
95819,18836.0
95820,34135.0
95821,50147.0
95822,41682.0
95823,73996.0
95824,31231.0
95825,28136.0
95826,38699.0
95827,20034.0
95828,60298.0
95829,28292.0
95830,5117.0
95831,47151.0
95832,16603.0
95833,42287.0
95834,33717.0
95835,37382.0
95837,5477.0
95838,36810.0
95841,17823.0
95842,29228.0
95843,47865.0
95864,26092.0
95901,32217.0
95903,2412.0
95910,0.0
95912,5389.0
95913,0.0
95914,0.0
95915,0.0
95916,0.0
95917,3568.0
95918,3935.0
95919,0.0
95920,0.0
95922,0.0
95923,0.0
95925,3187.0
95926,34645.0
95928,33286.0
95929,0.0
95930,0.0
95932,7835.0
95934,2564.0
95935,1506.0
95936,0.0
95937,0.0
95938,5504.0
95939,2202.0
95941,0.0
95942,0.0
95943,1457.0
95944,0.0
95945,29788.0
95946,12916.0
95947,0.0
95948,11697.0
95949,24367.0
95950,0.0
95951,3189.0
95953,14667.0
95954,7027.0
95955,0.0
95956,0.0
95957,1388.0
95958,0.0
95959,16263.0
95960,0.0
95961,30866.0
95962,0.0
95963,14192.0
95965,25067.0
95966,32981.0
95968,0.0
95969,5126.0
95970,0.0
95971,6519.0
95972,0.0
95973,49470.0
95974,0.0
95975,0.0
95977,0.0
95978,0.0
95979,2270.0
95981,0.0
95982,0.0
95983,0.0
95984,0.0
95986,0.0
95987,6345.0
95988,7877.0
95991,41787.0
95993,39335.0
96001,32938.0
96002,36682.0
96003,44239.0
96006,0.0
96007,24463.0
96008,0.0
96009,0.0
96010,2014.0
96011,0.0
96013,0.0
96014,0.0
96015,0.0
96016,0.0
96017,0.0
96019,9278.0
96020,1780.0
96021,15453.0
96022,13712.0
96023,0.0
96024,0.0
96025,2183.0
96027,3370.0
96028,3209.0
96029,0.0
96031,0.0
96032,1759.0
96033,0.0
96034,0.0
96035,3905.0
96037,0.0
96038,0.0
96039,0.0
96040,0.0
96041,7007.0
96044,0.0
96046,0.0
96047,3464.0
96048,0.0
96050,0.0
96051,1408.0
96052,0.0
96054,0.0
96055,0.0
96056,0.0
96057,0.0
96058,1671.0
96059,0.0
96061,0.0
96062,0.0
96063,0.0
96064,3966.0
96065,3346.0
96067,1698.0
96068,0.0
96069,1985.0
96071,0.0
96073,4910.0
96074,0.0
96075,0.0
96076,0.0
96078,0.0
96080,29848.0
96084,0.0
96085,0.0
96086,2529.0
96087,0.0
96088,4295.0
96090,0.0
96091,4405.0
96092,3820.0
96093,0.0
96094,7474.0
96096,2205.0
96097,11700.0
96101,3342.0
96103,1830.0
96104,1106.0
96105,0.0
96106,0.0
96107,0.0
96108,0.0
96109,0.0
96110,0.0
96111,0.0
96112,0.0
96113,3293.0
96114,3045.0
96115,0.0
96116,0.0
96117,8786.0
96118,0.0
96119,0.0
96120,0.0
96121,0.0
96122,0.0
96123,0.0
96124,0.0
96125,0.0
96126,0.0
96128,0.0
96129,4897.0
96130,13520.0
96132,1627.0
96133,0.0
96134,0.0
96135,0.0
96136,0.0
96137,0.0
96140,1319.0
96141,1547.0
96142,672.0
96143,4958.0
